DATE,INFLATION,NY
1/1/2011,220.223,462700
2/1/2011,221.309,466200
3/1/2011,223.467,465600
4/1/2011,224.906,469500
5/1/2011,225.964,471300
6/1/2011,225.722,468600
7/1/2011,225.922,469500
8/1/2011,226.545,470800
9/1/2011,226.889,476700
10/1/2011,226.421,471700
11/1/2011,226.23,457000
12/1/2011,225.672,447600
1/1/2012,226.665,442700
2/1/2012,227.663,447800
3/1/2012,229.392,450900
4/1/2012,230.085,459200
5/1/2012,229.815,470800
6/1/2012,229.478,477600
7/1/2012,229.104,484300
8/1/2012,230.379,482400
9/1/2012,231.407,487100
10/1/2012,231.317,492200
11/1/2012,230.221,503200
12/1/2012,229.601,498800
1/1/2013,230.28,492800
2/1/2013,232.166,475700
3/1/2013,232.773,477100
4/1/2013,232.531,480400
5/1/2013,232.945,483400
6/1/2013,233.504,481800
7/1/2013,233.596,474600
8/1/2013,233.877,483000
9/1/2013,234.149,489100
10/1/2013,233.546,499000
11/1/2013,233.069,485700
12/1/2013,233.049,481700
1/1/2014,233.916,474000
2/1/2014,234.781,485900
3/1/2014,236.293,483900
4/1/2014,237.072,481000
5/1/2014,237.9,481500
6/1/2014,238.343,491800
7/1/2014,238.25,500500
8/1/2014,237.852,500700
9/1/2014,238.031,496100
10/1/2014,237.433,489500
11/1/2014,236.151,492300
12/1/2014,234.812,493700
1/1/2015,233.707,503200
2/1/2015,234.722,506600
3/1/2015,236.119,507300
4/1/2015,236.599,508700
5/1/2015,237.805,509700
6/1/2015,238.638,517300
7/1/2015,238.654,519300
8/1/2015,238.316,522600
9/1/2015,237.945,524500
10/1/2015,237.838,528600
11/1/2015,237.336,533300
12/1/2015,236.525,538400
1/1/2016,236.916,527200
2/1/2016,237.111,547200
3/1/2016,238.132,549900
4/1/2016,239.261,560200
5/1/2016,240.229,538800
6/1/2016,241.018,536200
7/1/2016,240.628,532900
8/1/2016,240.849,528900
9/1/2016,241.428,522900
10/1/2016,241.729,530400
11/1/2016,241.353,533600
12/1/2016,241.432,536100
1/1/2017,242.839,533000
2/1/2017,243.603,531400
3/1/2017,243.801,534000
4/1/2017,244.524,534600
5/1/2017,244.733,543300
6/1/2017,244.955,544200
7/1/2017,244.786,556500
8/1/2017,245.519,552500
9/1/2017,246.819,552400
10/1/2017,246.663,540900
11/1/2017,246.669,543100
12/1/2017,246.524,544800
1/1/2018,247.867,555000
2/1/2018,248.991,553200
3/1/2018,249.554,559400
4/1/2018,250.546,555700
5/1/2018,251.588,556300
6/1/2018,251.989,547000
7/1/2018,252.006,544300
8/1/2018,252.146,548100
9/1/2018,252.439,558700
10/1/2018,252.885,560700
11/1/2018,252.038,563100
12/1/2018,251.233,564200
1/1/2019,251.712,557700
2/1/2019,252.776,561100
3/1/2019,254.202,560100
4/1/2019,255.548,571000
5/1/2019,256.092,559800
6/1/2019,256.143,563200
7/1/2019,256.571,570500
8/1/2019,256.558,572800
9/1/2019,256.759,569900
10/1/2019,257.346,560800
11/1/2019,257.208,571500
12/1/2019,256.974,575100
1/1/2020,257.971,571700
2/1/2020,258.678,568300
3/1/2020,258.115,573600
