RegionID,City,State
38992,Highlands Ranch,Colorado
26561,Plymouth,Minnesota
37840,Cheektowaga,New York
17845,Eagan,Minnesota
10264,Bartlett,Tennessee
25383,Kentwood,Michigan
12751,Milwaukie,Oregon
6102,Murray,Utah
49352,Dunwoody,Georgia
51952,Evesham Township,New Jersey
26213,Northglenn,Colorado
3731,Boardman,Ohio
119842,Ken Caryl,Colorado
14825,Cottonwood Heights,Utah
396536,Security-Widefield,Colorado
24372,Des Moines,Washington
11441,Fitchburg,Wisconsin
54410,Shoreview,Minnesota
119404,Columbine,Colorado
157222,Carney,Maryland
396606,Vinings,Georgia
3418,Anthem,Arizona
26027,Mountain Brook,Alabama
51547,Corinth,Texas
120381,Sherrelwood,Colorado
54702,Tinton Falls,New Jersey
35084,Bon Air,Virginia
11083,Delran Township,New Jersey
397390,Texas,Michigan
8823,Lyndhurst,Ohio
228223,Middle Valley,Tennessee
32403,Lakeside,Virginia
29879,Crestwood,Missouri
124049,Country Walk,Florida
126662,Williamsburg,Florida
126414,Timber Pines,Florida
